==============================================================================
 diffBloch refinement report -- colmey-et-al-2026-quartz-no-abs
==============================================================================
 structure   : experimental_paper_files/enantiomer_1.cif
 exp_data    : quartz.cif_pets
 generated   : 2026-08-10T15:57:20+00:00
 elapsed     : 233.1 s (3.88 min)

--- Simulation / refinement parameters ----------------------------------------
Parameter                                   Value
------------------------------------------  ------------
Integration semiangle (deg)                 1
Rocking-curve sampling                      42
D_sg                                        0.0015
R_sg                                        0.9
g_max (solve cutoff, A^-1)                  2
structure-factor support (2 x g_max, A^-1)  4
sg_max (A^-1)                               0.01
Absorption (T/F)                            F
Seed thickness (A)                          850
Epochs (configured)                         40
Best epoch                                  32
Optimizer                                   adam
Learning rate                               0.001
R_obs (%)                                   5.19 [99/99]
wR2 (%)                                     3.99 [99/99]
HKLs (Observed/total)                       992 / 2514

--- Crystallographic parameters -----------------------------------------------
Parameter                 Value
------------------------  ----------------------
Space group               P3221 (#154)
a, b, c (A)               4.9226, 4.9226, 5.4003
alpha, beta, gamma (deg)  90.00, 90.00, 120.00
Volume (A^3)              113.3
N atoms (ASU)             2

--- Objective terms (declared) ------------------------------------------------
 penalties  : none
 constraints: none
 components : apparent_thickness

--- Objective components (best epoch) -----------------------------------------
Component    Raw     Weight  Contribution
-----------  ------  ------  ------------
diffraction  3.9465  1       3.9465

 objective total = 3.9465
 (terms not composed into the objective have no row)

--- Per-rotation wR2 / R_obs (final refined model) ----------------------------
Rotation  wR2       R_obs     N matched
--------  --------  --------  ---------
0         0.069710  0.094232  26
1         0.030936  0.030383  26
2         0.035545  0.038154  24
3         0.017041  0.024185  25
4         0.045902  0.058299  25
5         0.024360  0.045048  27
6         0.010303  0.024107  26
7         0.021151  0.049297  22
8         0.062617  0.087416  22
9         0.083064  0.105809  33
10        0.017415  0.039958  23
11        0.011386  0.038088  23
12        0.014881  0.028008  25
13        0.011760  0.030162  24
14        0.029679  0.066118  27
15        0.066468  0.062523  24
16        0.039943  0.064301  28
17        0.027439  0.073152  25
18        0.013846  0.022873  9
19        0.212360  0.126026  30
20        0.018593  0.033683  22
21        0.020606  0.040907  25
22        0.071236  0.096345  25
23        0.044977  0.044972  24
24        0.045448  0.035897  27
25        0.027584  0.087611  22
26        0.064502  0.100841  26
27        0.038816  0.044809  28
28        0.050804  0.081218  27
29        0.027137  0.027712  20
30        0.042627  0.056688  26
31        0.066424  0.089618  30
32        0.042584  0.041027  23
33        0.028051  0.050476  28
34        0.020572  0.029368  28
35        0.027983  0.047216  31
36        0.018301  0.031145  23
37        0.024787  0.037881  17
38        0.074280  0.093154  28
39        0.038426  0.039927  32
40        0.065097  0.054854  27
41        0.048809  0.043855  27
42        0.021991  0.022021  23
43        0.026229  0.024226  25
44        0.044104  0.048810  25
45        0.028498  0.037218  24
46        0.028009  0.048438  26
47        0.019778  0.033600  27
48        0.035835  0.062400  28
49        0.017985  0.042708  30
50        0.036136  0.096334  33
51        0.037217  0.103981  33
52        0.032957  0.087526  22
53        0.037658  0.062388  21
54        0.017798  0.021315  23
55        0.019404  0.022633  20
56        0.133158  0.098343  34
57        0.130705  0.096119  35
58        0.070741  0.058110  29
59        0.072275  0.058792  30
60        0.033926  0.046618  21
61        0.020354  0.045800  27
62        0.022601  0.056551  26
63        0.018482  0.044645  26
64        0.007364  0.017869  19
65        0.017615  0.043510  25
66        0.016911  0.041199  24
67        0.064217  0.054981  34
68        0.032152  0.017156  27
69        0.068777  0.042193  34
70        0.064998  0.045948  30
71        0.038052  0.048108  33
72        0.028029  0.036057  29
73        0.019664  0.023244  24
74        0.018202  0.020468  15
75        0.052659  0.055470  29
76        0.024124  0.049897  21
77        0.022357  0.053528  22
78        0.021119  0.055472  21
79        0.026303  0.035272  20
80        0.030924  0.040857  26
81        0.049007  0.061881  27
82        0.069073  0.046507  27
83        0.043640  0.043665  26
84        0.040039  0.055749  26
85        0.030165  0.043267  19
86        0.043579  0.038548  26
87        0.056163  0.073687  27
88        0.039661  0.047051  17
89        0.035191  0.079766  26
90        0.069853  0.075223  30
91        0.046462  0.049600  24
92        0.048131  0.048999  24
93        0.030511  0.044309  26
94        0.017974  0.035228  11
95        0.050000  0.069697  27
96        0.022303  0.044715  25
97        0.022140  0.043247  27
98        0.019847  0.019424  18

 mean wR2   = 0.039864 [99/99]
 mean R_obs = 0.051896 [99/99]

--- Thickness NN --------------------------------------------------------------
 enabled: yes (min_thickness, bounds [1000, 2000] A)

Rotation  alpha (degrees)  Thickness (A)
--------  ---------------  -------------
0         -49.1970         901.08
1         -48.0370         897.89
2         -47.0550         895.22
3         -46.1090         892.68
4         -45.0420         889.87
5         -43.9750         887.10
6         -43.0320         884.69
7         -41.7640         881.53
8         -40.7430         879.03
9         -40.0590         877.40
10        -39.0710         875.08
11        -38.0010         872.63
12        -37.0400         870.49
13        -36.1260         868.50
14        -35.1080         866.36
15        -33.9320         863.97
16        -32.9080         861.97
17        -32.0370         860.33
18        -31.0480         858.53
19        -30.0580         856.81
20        -29.0600         855.15
21        -28.0640         853.58
22        -27.1070         852.15
23        -26.0180         850.62
24        -24.9850         849.26
25        -24.0470         848.11
26        -23.0640         847.00
27        -22.0940         845.98
28        -21.0270         844.97
29        -20.0880         844.17
30        -19.1210         843.44
31        -18.0670         842.74
32        -16.9920         842.15
33        -15.9620         841.70
34        -15.0590         841.39
35        -14.0290         841.14
36        -12.9480         841.00
37        -12.0580         840.98
38        -11.1270         841.04
39        -10.0610         841.23
40        -9.0510          841.52
41        -8.0240          841.93
42        -7.0560          842.42
43        -6.0500          843.04
44        -5.0680          843.74
45        -4.0820          844.55
46        -3.0050          845.56
47        -2.0290          846.58
48        -1.0720          847.68
49        -0.0150          849.00
50        1.1290           850.56
51        2.0890           851.98
52        3.1890           853.72
53        4.2360           855.49
54        5.1120           857.05
55        6.1430           858.99
56        7.1520           860.99
57        8.1400           863.04
58        8.9940           864.89
59        9.9650           867.08
60        11.0030          869.51
61        12.1230          872.24
62        13.1130          874.75
63        13.9520          876.94
64        15.0070          879.78
65        15.9620          882.44
66        16.9320          885.21
67        17.9310          888.14
68        18.9860          891.32
69        19.9820          894.40
70        20.8590          897.17
71        21.9440          900.68
72        22.9760          904.09
73        23.9860          907.50
74        25.0000          910.99
75        25.9590          914.35
76        26.9910          918.03
77        27.9750          921.60
78        28.9130          925.05
79        29.9250          928.83
80        30.9930          932.88
81        32.0020          936.76
82        32.9780          940.55
83        33.9660          944.45
84        34.9710          948.45
85        35.9950          952.57
86        37.0510          956.86
87        38.0740          961.06
88        38.9750          964.79
89        39.9190          968.73
90        40.9620          973.12
91        41.9600          977.34
92        42.9360          981.50
93        43.9560          985.87
94        44.9920          990.33
95        46.0370          994.86
96        46.9860          998.98
97        47.9950          1003.39
98        49.0790          1008.13

 plot: thickness_nn_shape.png

--- Refined structure -- atom_site --------------------------------------------
_atom_site_label  _atom_site_type_symbol  _atom_site_fract_x  _atom_site_fract_y  _atom_site_fract_z  _atom_site_U_iso_or_equiv  _atom_site_thermal_displace_type
----------------  ----------------------  ------------------  ------------------  ------------------  -------------------------  --------------------------------
Si1               Si                      1                   0.4704512488        0.833333            0.009208                   Uani
O1                O                       0.8550872532        0.586137162         0.6187946675        0.015829                   Uani

_atom_site_aniso_label  _atom_site_aniso_U_11  _atom_site_aniso_U_22  _atom_site_aniso_U_33  _atom_site_aniso_U_23  _atom_site_aniso_U_13  _atom_site_aniso_U_12
----------------------  ---------------------  ---------------------  ---------------------  ---------------------  ---------------------  ---------------------
Si1                     0.01293606873          0.0128748709           0.006687604552         -0.0002436661024       -0.0004873322047       0.006468034366
O1                      0.01319483947          0.02139968613          0.01474879332          0.003808799824         -0.00207446098         0.009470066091
