==============================================================================
 diffBloch refinement report -- quartz-no-abs
==============================================================================
 structure   : experimental_paper_files/enantiomer_1.cif
 exp_data    : quartz.cif_pets
 generated   : 2026-07-31T23:28:15+00:00
 elapsed     : 135.7 s (2.26 min)

--- Simulation / refinement parameters ----------------------------------------
Parameter                                   Value     
------------------------------------------  ----------
Integration semiangle (deg)                 1         
Rocking-curve sampling                      42        
D_sg                                        0.0015    
R_sg                                        0.9       
g_max (solve cutoff, A^-1)                  2         
structure-factor support (2 x g_max, A^-1)  4         
sg_max (A^-1)                               0.01      
Absorption (T/F)                            F         
Seed thickness (A)                          850       
Epochs (configured)                         40        
Best epoch                                  32        
Optimizer                                   adam      
Learning rate                               0.001     
R_obs (%)                                   5.17      
wR2 (%)                                     4.00      
HKLs (Observed/total)                       992 / 2513

--- Crystallographic parameters -----------------------------------------------
Parameter                 Value                 
------------------------  ----------------------
Space group               P3221 (#154)          
a, b, c (A)               4.9226, 4.9226, 5.4003
alpha, beta, gamma (deg)  90.00, 90.00, 120.00  
Volume (A^3)              113.3                 
N atoms (ASU)             2                     

--- Per-rotation wR2 / R_obs (final refined model) ----------------------------
Rotation  wR2       R_obs     N matched
--------  --------  --------  ---------
0         0.070362  0.091227  26       
1         0.040903  0.035302  25       
2         0.034239  0.036099  24       
3         0.016843  0.024845  25       
4         0.049243  0.062357  25       
5         0.023930  0.044203  27       
6         0.010684  0.022467  26       
7         0.020983  0.050461  22       
8         0.069469  0.088245  22       
9         0.083117  0.103203  33       
10        0.015569  0.037217  23       
11        0.010423  0.035766  23       
12        0.014058  0.028785  25       
13        0.012051  0.031234  24       
14        0.029365  0.065575  27       
15        0.066692  0.062353  24       
16        0.040433  0.064549  28       
17        0.027007  0.071571  25       
18        0.011722  0.024025  9        
19        0.211440  0.125443  30       
20        0.017969  0.032417  22       
21        0.019503  0.039754  25       
22        0.069091  0.092619  25       
23        0.042570  0.040788  24       
24        0.044521  0.037296  27       
25        0.025030  0.088590  22       
26        0.063491  0.099602  26       
27        0.034386  0.042730  28       
28        0.050150  0.079664  27       
29        0.026602  0.027404  20       
30        0.041668  0.057004  26       
31        0.065923  0.089388  30       
32        0.043557  0.043478  23       
33        0.027619  0.050209  28       
34        0.019530  0.027290  28       
35        0.027245  0.045468  31       
36        0.019267  0.031787  23       
37        0.024404  0.038360  17       
38        0.073902  0.091627  28       
39        0.036359  0.037559  32       
40        0.064040  0.052236  27       
41        0.051493  0.046235  27       
42        0.019950  0.018498  23       
43        0.023898  0.022425  25       
44        0.042925  0.048007  25       
45        0.028762  0.037689  24       
46        0.027354  0.047324  26       
47        0.020663  0.034431  27       
48        0.035145  0.061780  28       
49        0.017778  0.040456  30       
50        0.038355  0.096110  33       
51        0.038874  0.101293  33       
52        0.039729  0.089822  22       
53        0.040499  0.064359  21       
54        0.021694  0.024307  23       
55        0.023014  0.025579  20       
56        0.122305  0.094095  34       
57        0.119238  0.091160  35       
58        0.072691  0.059020  29       
59        0.074072  0.059345  30       
60        0.031502  0.044467  21       
61        0.023282  0.047301  27       
62        0.025083  0.057766  26       
63        0.019099  0.045541  26       
64        0.008605  0.017431  19       
65        0.017528  0.041115  25       
66        0.017268  0.039837  24       
67        0.071003  0.054570  34       
68        0.027464  0.016248  27       
69        0.066616  0.040901  34       
70        0.060493  0.044891  30       
71        0.039624  0.048004  33       
72        0.022209  0.033655  29       
73        0.021778  0.025092  24       
74        0.019111  0.019889  15       
75        0.055325  0.054348  29       
76        0.024133  0.049580  21       
77        0.022932  0.054148  22       
78        0.020475  0.054600  21       
79        0.024580  0.036130  20       
80        0.030912  0.041557  26       
81        0.049086  0.063052  27       
82        0.072660  0.048108  27       
83        0.044898  0.045726  26       
84        0.041873  0.059426  26       
85        0.031459  0.046430  19       
86        0.040937  0.037879  26       
87        0.052769  0.072120  27       
88        0.047404  0.050883  17       
89        0.038110  0.081569  26       
90        0.069383  0.075390  30       
91        0.044131  0.049317  24       
92        0.056810  0.050744  24       
93        0.030124  0.043236  26       
94        0.021186  0.038733  11       
95        0.048164  0.069770  27       
96        0.022054  0.045903  25       
97        0.021773  0.041707  27       
98        0.020284  0.018423  18       

 mean wR2   = 0.039959
 mean R_obs = 0.051693

--- Thickness NN --------------------------------------------------------------
 enabled: yes (min_thickness, bounds [1000, 2000] A)

Rotation  alpha (degrees)  Thickness (A)
--------  ---------------  -------------
0         -49.1970         908.14       
1         -48.0370         905.07       
2         -47.0550         902.51       
3         -46.1090         900.07       
4         -45.0420         897.37       
5         -43.9750         894.71       
6         -43.0320         892.41       
7         -41.7640         889.38       
8         -40.7430         886.99       
9         -40.0590         885.43       
10        -39.0710         883.22       
11        -38.0010         880.88       
12        -37.0400         878.85       
13        -36.1260         876.96       
14        -35.1080         874.93       
15        -33.9320         872.67       
16        -32.9080         870.78       
17        -32.0370         869.23       
18        -31.0480         867.54       
19        -30.0580         865.93       
20        -29.0600         864.38       
21        -28.0640         862.92       
22        -27.1070         861.59       
23        -26.0180         860.17       
24        -24.9850         858.93       
25        -24.0470         857.88       
26        -23.0640         856.86       
27        -22.0940         855.95       
28        -21.0270         855.05       
29        -20.0880         854.35       
30        -19.1210         853.71       
31        -18.0670         853.13       
32        -16.9920         852.65       
33        -15.9620         852.29       
34        -15.0590         852.07       
35        -14.0290         851.93       
36        -12.9480         851.89       
37        -12.0580         851.95       
38        -11.1270         852.10       
39        -10.0610         852.39       
40        -9.0510          852.77       
41        -8.0240          853.28       
42        -7.0560          853.85       
43        -6.0500          854.55       
44        -5.0680          855.34       
45        -4.0820          856.24       
46        -3.0050          857.33       
47        -2.0290          858.42       
48        -1.0720          859.60       
49        -0.0150          861.00       
50        1.1290           862.65       
51        2.0890           864.13       
52        3.1890           865.95       
53        4.2360           867.79       
54        5.1120           869.41       
55        6.1430           871.41       
56        7.1520           873.47       
57        8.1400           875.58       
58        8.9940           877.48       
59        9.9650           879.72       
60        11.0030          882.20       
61        12.1230          884.99       
62        13.1130          887.55       
63        13.9520          889.78       
64        15.0070          892.67       
65        15.9620          895.36       
66        16.9320          898.16       
67        17.9310          901.13       
68        18.9860          904.35       
69        19.9820          907.46       
70        20.8590          910.26       
71        21.9440          913.80       
72        22.9760          917.23       
73        23.9860          920.67       
74        25.0000          924.18       
75        25.9590          927.56       
76        26.9910          931.25       
77        27.9750          934.84       
78        28.9130          938.30       
79        29.9250          942.09       
80        30.9930          946.15       
81        32.0020          950.03       
82        32.9780          953.83       
83        33.9660          957.73       
84        34.9710          961.73       
85        35.9950          965.85       
86        37.0510          970.14       
87        38.0740          974.34       
88        38.9750          978.06       
89        39.9190          981.99       
90        40.9620          986.36       
91        41.9600          990.58       
92        42.9360          994.72       
93        43.9560          999.08       
94        44.9920          1003.52      
95        46.0370          1008.03      
96        46.9860          1012.14      
97        47.9950          1016.52      
98        49.0790          1021.25      

 plot: thickness_nn_shape.png

--- Refined structure -- atom_site --------------------------------------------
