==============================================================================
 diffBloch refinement report -- quartz-no-abs
==============================================================================
 structure   : experimental_paper_files/enantiomer_1.cif
 exp_data    : quartz.cif_pets
 generated   : 2026-07-31T21:45:28+00:00
 elapsed     : 130.6 s (2.18 min)

--- Simulation / refinement parameters ----------------------------------------
Parameter                                   Value      
------------------------------------------  -----------
Integration semiangle (deg)                 1          
Rocking-curve sampling                      42         
D_sg                                        0.0015     
R_sg                                        0.9        
g_max (solve cutoff, A^-1)                  2          
structure-factor support (2 x g_max, A^-1)  4          
sg_max (A^-1)                               0.01       
Absorption (T/F)                            F          
Seed thickness (A)                          850        
Epochs (configured)                         40         
Best epoch                                  40         
Optimizer                                   adam       
Learning rate                               0.001      
R_obs (%)                                   3.74       
wR2 (%)                                     n/a        
HKLs (Observed/total)                       1009 / 2533

--- Crystallographic parameters -----------------------------------------------
Parameter                 Value                 
------------------------  ----------------------
Space group               P3221 (#154)          
a, b, c (A)               4.9226, 4.9226, 5.4003
alpha, beta, gamma (deg)  90.00, 90.00, 120.00  
Volume (A^3)              113.3                 
N atoms (ASU)             2                     

--- Per-rotation wR2 / R_obs (final refined model) ----------------------------
Rotation  wR2       R_obs     N matched
--------  --------  --------  ---------
0         0.071288  0.046151  26       
1         0.044950  0.035983  25       
2         0.039203  0.030614  26       
3         0.092101  0.036668  26       
4         0.064219  0.036778  24       
5         0.047876  0.028559  27       
6         0.021661  0.022331  26       
7         0.142952  0.021657  20       
8         0.111738  0.106068  32       
9         0.026305  0.036524  27       
10        0.025555  0.014499  19       
11        0.019902  0.015247  21       
12        0.029770  0.018480  21       
13        0.012882  0.014438  21       
14        0.049133  0.054780  26       
15        0.060628  0.060257  30       
16        0.039009  0.046621  28       
17        0.022345  0.024932  22       
18        0.019715  0.024539  9        
19        0.198853  0.105668  26       
20        0.050953  0.033266  22       
21        0.094675  0.047007  27       
22        0.062157  0.048598  27       
23        0.030007  0.022634  24       
24        0.033802  0.025075  27       
25        0.037385  0.028415  25       
26        0.137309  0.065658  22       
27        0.049887  0.058958  25       
28        0.022225  0.024213  22       
29        0.031103  0.025139  22       
30        0.039290  0.025637  23       
31        0.042256  0.049701  25       
32        0.025016  0.036430  25       
33        0.031038  0.036891  27       
34        0.023298  0.026152  27       
35        0.020953  0.026750  27       
36        0.021032  0.023227  22       
37        0.085381  0.072119  28       
38        0.046736  0.035662  28       
39        0.034248  0.028227  31       
40        0.018520  0.017204  25       
41        0.048174  0.037542  28       
42        0.013876  0.000400  14       
43        0.023547  0.008733  20       
44        0.028095  0.019507  26       
45        0.018533  0.015817  24       
46        0.053919  0.022746  26       
47        0.035412  0.034480  25       
48        0.040769  0.038221  25       
49        0.024349  0.042627  31       
50        0.027588  0.045219  31       
51        0.062638  0.084096  30       
52        0.019128  0.024504  23       
53        0.034688  0.029379  22       
54        0.029200  0.024926  23       
55        0.024882  0.026275  20       
56        0.160691  0.106467  33       
57        0.161896  0.089206  36       
58        0.094065  0.057264  31       
59        0.076797  0.055839  30       
60        0.052843  0.037161  21       
61        0.034167  0.024694  21       
62        0.019489  0.032954  26       
63        0.019463  0.032418  26       
64        0.020515  0.045074  25       
65        0.056197  0.023844  30       
66        0.062184  0.041452  32       
67        0.085636  0.052120  28       
68        0.035818  0.009731  19       
69        0.051627  0.018310  29       
70        0.111161  0.045548  30       
71        0.044874  0.044307  33       
72        0.044812  0.029986  37       
73        0.020160  0.017332  27       
74        0.015044  0.014826  14       
75        0.075927  0.044536  29       
76        0.048449  0.044390  27       
77        0.059593  0.051447  34       
78        0.024325  0.040311  21       
79        0.056458  0.044349  30       
80        0.040783  0.037160  29       
81        0.045250  0.043917  29       
82        0.057545  0.030466  25       
83        0.016403  0.025258  23       
84        0.026571  0.026796  27       
85        0.017037  0.025799  22       
86        0.103583  0.048932  23       
87        0.064119  0.042809  31       
88        0.054713  0.040827  28       
89        0.035811  0.046671  26       
90        0.073647  0.038034  28       
91        0.108628  0.060484  29       
92        0.050121  0.044003  26       
93        0.023411  0.014359  20       
94        0.103789  0.060898  25       
95        0.053468  0.054282  27       
96        0.029193  0.023115  26       
97        0.045713  0.042992  26       
98        0.015954  0.001141  13       

 mean wR2   = 0.050102
 mean R_obs = 0.037411

--- Thickness NN --------------------------------------------------------------
 enabled: yes (min_thickness, bounds [1000, 2000] A)

Rotation  alpha (degrees)  Thickness (A)
--------  ---------------  -------------
0         -49.1970         946.94       
1         -48.0370         942.83       
2         -47.0550         939.38       
3         -46.1090         936.06       
4         -45.0420         932.36       
5         -43.9750         928.68       
6         -43.0320         925.46       
7         -41.7640         921.17       
8         -40.7430         917.76       
9         -40.0590         915.50       
10        -39.0710         912.26       
11        -38.0010         908.81       
12        -37.0400         905.75       
13        -36.1260         902.89       
14        -35.1080         899.74       
15        -33.9320         896.18       
16        -32.9080         893.14       
17        -32.0370         890.61       
18        -31.0480         887.79       
19        -30.0580         885.03       
20        -29.0600         882.31       
21        -28.0640         879.67       
22        -27.1070         877.20       
23        -26.0180         874.47       
24        -24.9850         871.96       
25        -24.0470         869.76       
26        -23.0640         867.53       
27        -22.0940         865.41       
28        -21.0270         863.16       
29        -20.0880         861.27       
30        -19.1210         859.41       
31        -18.0670         857.47       
32        -16.9920         855.60       
33        -15.9620         853.92       
34        -15.0590         852.52       
35        -14.0290         851.03       
36        -12.9480         849.58       
37        -12.0580         848.47       
38        -11.1270         847.40       
39        -10.0610         846.28       
40        -9.0510          845.33       
41        -8.0240          844.47       
42        -7.0560          843.77       
43        -6.0500          843.14       
44        -5.0680          842.63       
45        -4.0820          842.23       
46        -3.0050          841.91       
47        -2.0290          841.72       
48        -1.0720          841.64       
49        -0.0150          841.67       
50        1.1290           841.83       
51        2.0890           842.08       
52        3.1890           842.48       
53        4.2360           842.98       
54        5.1120           843.50       
55        6.1430           844.20       
56        7.1520           845.00       
57        8.1400           845.88       
58        8.9940           846.73       
59        9.9650           847.77       
60        11.0030          849.00       
61        12.1230          850.45       
62        13.1130          851.83       
63        13.9520          853.07       
64        15.0070          854.73       
65        15.9620          856.32       
66        16.9320          858.02       
67        17.9310          859.86       
68        18.9860          861.91       
69        19.9820          863.92       
70        20.8590          865.77       
71        21.9440          868.15       
72        22.9760          870.49       
73        23.9860          872.87       
74        25.0000          875.35       
75        25.9590          877.75       
76        26.9910          880.42       
77        27.9750          883.04       
78        28.9130          885.60       
79        29.9250          888.42       
80        30.9930          891.48       
81        32.0020          894.43       
82        32.9780          897.35       
83        33.9660          900.36       
84        34.9710          903.49       
85        35.9950          906.72       
86        37.0510          910.12       
87        38.0740          913.47       
88        38.9750          916.46       
89        39.9190          919.63       
90        40.9620          923.18       
91        41.9600          926.62       
92        42.9360          930.02       
93        43.9560          933.62       
94        44.9920          937.31       
95        46.0370          941.06       
96        46.9860          944.50       
97        47.9950          948.19       
98        49.0790          952.18       

 plot: thickness_nn_shape.png

--- Refined structure -- atom_site --------------------------------------------
_atom_site_label  _atom_site_type_symbol  _atom_site_fract_x  _atom_site_fract_y  _atom_site_fract_z  _atom_site_U_iso_or_equiv  _atom_site_thermal_displace_type
----------------  ----------------------  ------------------  ------------------  ------------------  -------------------------  --------------------------------
Si1               Si                      1                   0.4711603621        0.833333            0.009208                   Uani                            
O1                O                       0.8549156577        0.5868317777        0.6187159695        0.015829                   Uani                            

_atom_site_aniso_label  _atom_site_aniso_U_11  _atom_site_aniso_U_22  _atom_site_aniso_U_33  _atom_site_aniso_U_23  _atom_site_aniso_U_13  _atom_site_aniso_U_12
----------------------  ---------------------  ---------------------  ---------------------  ---------------------  ---------------------  ---------------------
Si1                     0.01079416561          0.01053505599          0.005965370224         -0.0004470025868       -0.0008940051736       0.005397082805       
O1                      0.01205273222          0.01898432319          0.01513267054          0.002931591838         -0.003319202325        0.008480830251       
